Numer;Powierzchnia;Rodzaj;Ulga
541/85;1475,31;S;C
541/86;1239,32;R;B
541/87;569,69;X;B
541/88;1174,43;B;C
541/89;1321,74;B;B
541/90;1044,67;S;B
541/91;871,02;B;A
541/92;1468,24;L;C
541/93;783,02;X;D
541/94;1237,70;L;D
541/95;670,32;S;C
541/96;1376,93;S;C
541/97;1077,19;S;C
541/98;1295,73;S;A
541/99;572,54;L;B
542/10;1088,31;L;C
542/11;528,16;X;C
542/12;1290,33;X;A
542/13;552,73;S;C
542/14;604,59;S;B
542/15;895,33;B;B
542/16;1229,61;L;D
542/17;1200,99;B;B
542/18;1128,12;S;B
542/19;1440,20;S;B
542/20;1423,14;L;A
542/21;900,52;B;D
542/22;1197,48;X;A
542/23;630,17;R;B
542/24;1128,56;S;B
542/25;838,95;L;B
542/26;562,05;X;B
542/27;1088,13;S;C
542/28;692,93;X;C
542/29;1492,22;B;A
542/30;1300,12;S;D
542/31;734,37;X;B
542/32;502,66;S;C
542/33;806,18;S;C
542/34;722,57;L;B
542/35;530,70;L;D
542/36;1183,50;S;C
542/37;1353,58;X;B
542/38;708,36;B;C
542/39;1049,76;S;B
542/40;941,87;X;D
542/41;1290,24;B;C
542/42;623,20;X;C
542/43;615,91;B;B
542/44;1016,64;L;C
542/45;611,56;X;A
542/46;1362,05;X;D
542/47;938,12;X;B
542/48;522,64;L;B
542/49;1048,29;B;D
542/50;508,70;B;B
542/51;1138,00;R;D
542/52;526,47;S;D
542/53;683,54;B;C
542/54;1267,65;L;B
542/55;799,39;X;C
542/56;1002,84;R;B
542/57;1104,75;X;C
542/58;1009,21;X;C
542/59;655,45;X;A
542/60;1374,72;X;C
542/61;1360,47;B;B
542/62;1424,62;L;D
542/63;1379,92;S;B
542/64;1358,10;S;A
542/65;1109,92;X;C
542/66;688,62;S;A
542/67;1108,39;L;C
542/68;753,12;L;C
542/69;617,53;L;D
542/70;958,43;S;C
542/71;990,53;B;B
542/72;1162,10;X;B
542/73;1182,46;B;C
542/74;1134,52;S;C
542/75;1335,70;X;C
542/76;1159,67;L;A
542/77;1366,46;B;B
542/78;1250,32;S;D
542/79;587,80;L;C
542/80;1008,82;B;C
542/81;791,62;L;A
542/82;723,89;B;B
542/83;501,57;B;B
542/84;1158,60;R;C
542/85;859,71;B;C
542/86;1422,86;S;C
542/87;1121,96;B;B
542/88;987,51;L;C
542/89;559,30;X;C
542/90;1107,39;L;B
542/91;915,64;B;B
542/92;681,79;B;D
542/93;1118,97;B;C
542/94;628,49;B;A
542/95;567,92;X;B
542/96;782,29;S;B
542/97;1129,78;L;A
542/98;812,79;X;C
542/99;618,37;B;A
543/10;1260,01;B;C
543/11;756,72;B;B
543/12;949,17;R;B
543/13;1034,88;B;D
543/14;725,08;X;C
543/15;1226,70;X;C
543/16;675,51;X;C
543/17;1404,38;L;D
543/18;668,57;R;C
543/19;1197,63;R;B
543/20;1115,81;B;C
543/21;592,49;B;D
543/22;1082,74;B;C
543/23;836,15;L;B
543/24;1047,78;B;C
543/25;1442,83;L;C
543/26;1271,10;L;C
543/27;667,72;X;C
543/28;935,53;B;B
543/29;1078,11;R;B
543/30;1320,40;S;A
543/31;868,69;B;D
543/32;640,99;L;B
543/33;1359,89;X;C
543/34;647,90;L;D
543/35;1260,90;B;B
543/36;1486,82;S;C
543/37;1250,59;B;C
543/38;1249,63;R;C
543/39;784,18;B;A
543/40;605,80;B;A
543/41;762,53;B;B
543/42;1026,78;B;C
543/43;1221,88;B;C
543/44;1248,79;R;C
543/45;574,14;B;A
543/46;810,79;B;C
543/47;977,79;B;C
543/48;1092,27;X;B
543/49;1433,95;B;C
543/50;1056,42;R;C
543/51;1341,41;B;B
543/52;1159,36;X;C
543/53;1264,01;B;A
543/54;1033,68;B;D
543/55;956,30;S;C
543/56;1051,59;S;B
543/57;837,13;S;C
543/58;693,92;R;B
543/59;1160,52;B;B
543/60;640,12;X;B
543/61;856,16;B;C
543/62;601,50;R;B
543/63;548,00;R;C
543/64;1114,93;B;C
543/65;968,36;B;C
543/66;510,52;B;B
543/67;1010,01;S;D
543/68;529,86;B;B
543/69;991,01;X;C
543/70;938,55;B;B
543/71;724,02;B;B
543/72;847,25;X;B
543/73;1009,63;S;D
543/74;824,01;S;C
543/75;829,48;S;C
543/76;1495,51;B;D
543/77;658,12;B;A
543/78;595,81;X;A
543/79;710,34;B;C
543/80;1457,52;B;C
543/81;1493,03;B;C
543/82;1271,55;B;D
543/83;1092,56;B;D
543/84;1197,29;B;C
543/85;755,66;S;B
543/86;530,52;S;D
543/87;1456,22;X;C
543/88;745,82;B;A
543/89;891,49;S;A
543/90;545,92;R;C
543/91;678,21;R;A
543/92;913,66;B;A
543/93;1310,16;B;C
543/94;1286,28;S;C
543/95;751,34;S;A
543/96;1120,08;B;B
543/97;1470,23;B;C
543/98;1356,30;S;A
543/99;1396,91;X;B
544/10;1290,05;S;A
544/11;793,43;X;B
544/12;1466,41;B;A
544/13;781,12;B;C
544/14;597,35;R;D
544/15;804,64;B;C
544/16;611,29;B;D
544/17;660,42;B;A
544/18;1202,56;X;C
544/19;579,83;B;A
544/20;755,10;B;B
544/21;1061,38;S;C
544/22;1028,52;B;B
544/23;1339,39;S;C
544/24;1404,83;R;B
544/25;1093,97;S;C
544/26;1065,70;S;C
544/27;1470,50;S;A
544/28;998,27;X;C
544/29;1215,91;B;B
544/30;677,43;X;C
544/31;1234,94;R;C
544/32;547,85;S;B
544/33;662,62;X;C
544/34;813,74;B;C
544/35;985,64;R;C
544/36;1200,48;B;C
544/37;1098,13;L;B
544/38;934,40;L;B
544/39;987,11;X;B
544/40;573,47;R;C
544/41;1300,50;L;C
544/42;1381,96;X;C
544/43;1397,79;B;C
544/44;883,27;S;C
544/45;837,57;S;D
544/46;947,63;B;A
544/47;876,10;L;C
544/48;1354,32;X;A
544/49;978,41;S;C
544/50;1173,74;B;A
544/51;528,30;S;C
544/52;637,86;S;A
544/53;639,23;B;B
544/54;1077,35;X;B
544/55;887,78;L;C
544/56;1056,68;R;A
544/57;831,50;S;C
544/58;1390,84;B;C
544/59;660,47;B;C
544/60;680,68;L;D
544/61;1177,11;S;C
544/62;637,05;S;A
544/63;669,58;B;A
544/64;1114,40;B;D
544/65;723,10;X;C
544/66;773,64;S;A
544/67;1142,76;B;D
544/68;1247,46;R;B
544/69;503,78;B;B
544/70;828,89;B;C
544/71;716,26;X;B
544/72;593,34;R;A
544/73;1417,25;B;A
544/74;1017,44;L;B
544/75;1476,56;L;B
544/76;543,33;S;B
544/77;1298,00;X;A
544/78;852,80;L;B
544/79;536,15;X;C
544/80;725,90;X;A
544/81;1237,07;L;C
544/82;1481,15;B;B
544/83;624,16;B;B
544/84;1083,97;B;B
544/85;912,28;S;B
544/86;707,02;L;A
544/87;901,32;S;C
544/88;1098,29;S;D
544/89;503,50;S;A
544/90;1126,77;S;C
544/91;1197,48;S;B
544/92;657,39;L;C
544/93;1468,13;S;D
544/94;690,61;B;A
544/95;682,99;R;B
544/96;892,53;B;D
544/97;795,55;B;C
544/98;1311,42;S;C
544/99;707,59;S;B
545/10;1473,86;B;D
545/11;1008,68;X;B
545/12;1464,22;B;B
545/13;1275,11;R;C
545/14;1071,15;B;C
545/15;971,21;X;B
545/16;1464,77;X;B
545/17;723,78;L;B
545/18;1417,62;X;B
545/19;685,41;B;C
545/20;636,92;X;A
545/21;1402,57;X;D
545/22;802,94;L;C
545/23;842,61;R;C
545/24;1490,88;B;C
545/25;1127,19;X;B
545/26;1308,46;B;C
545/27;574,50;L;B
545/28;1417,47;L;B
545/29;1217,44;S;B
545/30;715,84;S;D
545/31;1458,41;X;D
545/32;1234,79;S;C
545/33;1075,40;B;C
545/34;720,91;L;A
545/35;1315,97;X;C
545/36;1360,81;L;A
545/37;693,88;L;C
545/38;769,49;B;C
545/39;1326,39;B;B
545/40;693,66;R;B
545/41;609,84;R;C
545/42;1429,60;B;B
545/43;1277,46;R;B
545/44;1131,18;L;A
545/45;511,57;X;B
545/46;1353,32;B;B
545/47;1161,94;L;A
545/48;599,57;R;A
545/49;619,10;L;B
545/50;1398,01;B;C
545/51;1027,67;L;B
545/52;974,01;R;C
545/53;927,61;L;D
545/54;1226,94;X;B
545/55;944,87;B;B
545/56;770,46;L;C
545/57;889,36;B;A
545/58;597,17;S;C
545/59;971,59;B;B
545/60;1188,38;B;B
545/61;1286,31;B;B
545/62;1050,57;S;A
545/63;878,35;B;C
545/64;1496,72;B;A
545/65;1467,96;B;C
545/66;1040,84;X;D
545/67;1295,84;B;A
545/68;694,02;B;D
545/69;1201,23;B;B
545/70;529,02;X;C
545/71;672,14;B;B
545/72;1308,83;S;D
545/73;1221,44;B;A
545/74;933,64;B;C
545/75;1489,66;S;A
545/76;1134,21;S;B
545/77;1263,72;B;B
545/78;1213,60;B;B
545/79;957,84;R;D
545/80;1110,02;B;B
545/81;735,83;B;A
545/82;760,12;B;B
545/83;1378,79;B;C
545/84;1327,95;X;B
545/85;1041,65;L;C
545/86;1266,18;X;D
545/87;1397,34;B;B
545/88;1466,34;S;B
545/89;1107,00;B;B
545/90;1072,74;X;D
545/91;592,01;B;C
545/92;1373,76;B;D
545/93;896,82;B;A
545/94;831,69;B;C
545/95;1279,76;B;B
545/96;752,98;R;B
545/97;1271,02;B;C
545/98;936,75;B;C
545/99;1041,91;X;B
546/10;824,59;B;D
546/11;1480,90;B;A
546/12;1086,78;B;A
546/13;1445,43;B;C
546/14;814,61;S;D
546/15;1465,95;S;C
546/16;1322,93;B;B
546/17;707,11;R;A
546/18;727,40;B;D
546/19;991,97;R;B
546/20;1335,83;R;B
546/21;1377,97;S;C
546/22;1252,35;S;B
546/23;583,46;X;D
546/24;1335,65;B;C
546/25;630,09;X;D
546/26;1288,53;B;D
546/27;855,34;B;C
546/28;1463,80;R;C
546/29;1226,58;R;B
546/30;1409,79;B;D
546/31;714,39;R;C
546/32;1188,94;S;D
546/33;838,61;S;A
546/34;1168,83;X;D
546/35;1265,86;B;D
546/36;1177,04;B;B
546/37;924,34;B;D
546/38;1165,94;B;B
546/39;941,90;B;D
546/40;609,03;B;C
546/41;501,98;X;D
546/42;1157,23;S;A
546/43;1393,60;B;C
546/44;758,11;X;C
546/45;653,80;R;D
546/46;1227,96;S;C
546/47;985,60;R;C
546/48;740,58;X;A
546/49;1447,80;R;C
546/50;1061,52;B;B
546/51;1416,84;R;D
546/52;998,58;S;A
546/53;1308,73;S;C
546/54;1237,92;B;C
546/55;795,90;S;C
546/56;784,42;R;D
546/57;969,21;X;A
546/58;788,51;B;A
546/59;1163,52;S;C
546/60;1164,12;S;C
546/61;1080,36;R;C
546/62;1391,74;R;A
546/63;531,52;B;B
546/64;1311,82;X;B
546/65;595,37;S;D
546/66;1298,90;R;C
546/67;716,80;B;B
546/68;882,26;X;D
546/69;853,85;R;B
546/70;899,50;R;D
546/71;1211,27;X;B
546/72;1046,39;B;B
546/73;810,38;S;D
546/74;998,72;X;B
546/75;627,91;R;B
546/76;886,51;B;C
546/77;588,35;X;B
546/78;1359,47;R;C
546/79;577,20;L;A
546/80;883,14;B;C
546/81;516,24;B;A
546/82;1220,39;S;C
546/83;683,67;S;B
546/84;1491,77;B;B
546/85;891,41;B;D
546/86;786,67;B;B
546/87;1107,64;L;C
546/88;1312,03;B;D
546/89;659,60;B;B
546/90;1165,62;B;A
546/91;742,27;S;B
546/92;1027,53;X;A
546/93;621,82;S;A
546/94;1084,63;B;D
546/95;1361,92;L;B
546/96;584,84;B;C
546/97;887,40;L;B
546/98;1400,64;L;B
546/99;863,23;L;A
547/10;998,27;S;A
547/11;1197,19;L;B
547/12;851,44;X;A
547/13;1222,78;B;C
547/14;1176,38;X;A
547/15;1408,09;B;D
547/16;1087,99;B;D
547/17;1333,08;X;C
547/18;1425,57;L;C
547/19;774,48;B;C
547/20;1373,05;B;B
547/21;906,68;B;B
547/22;739,24;X;C
547/23;1261,97;B;A
547/24;1064,12;S;A
547/25;885,95;R;B
547/26;1092,26;B;D
547/27;1276,61;B;C
547/28;802,41;S;B
547/29;708,10;L;C
547/30;1463,74;B;D
547/31;604,15;B;B
547/32;604,75;X;C
547/33;1451,69;L;B
547/34;1278,30;B;B
547/35;1418,83;X;C
547/36;546,90;S;C
547/37;1310,98;S;A
547/38;1370,23;B;D
547/39;1269,10;X;B
547/40;1008,77;S;B
547/41;1354,91;S;B
547/42;748,44;S;C
547/43;598,51;S;C
547/44;1176,90;S;B
547/45;532,04;S;C
547/46;1415,66;X;C
547/47;1442,53;S;D
547/48;1309,09;B;A
547/49;802,37;R;A
547/50;1335,66;L;C
547/51;755,24;B;C
547/52;1397,41;S;B
547/53;1176,72;X;D
547/54;790,63;B;A
547/55;957,61;X;B
547/56;870,10;X;B
547/57;1436,37;B;D
547/58;791,39;L;B
547/59;1469,89;R;B
547/60;1048,90;R;B
547/61;1434,55;R;A
547/62;899,48;B;A
547/63;1024,40;B;A
547/64;892,78;S;B
547/65;1202,01;B;B
547/66;1158,88;X;D
547/67;569,85;X;B
547/68;706,01;B;B
547/69;937,22;R;A
547/70;611,75;B;D
547/71;1225,17;R;B
547/72;645,85;S;C
547/73;1077,67;S;B
547/74;964,18;R;D
547/75;1412,65;B;C
547/76;872,67;B;C
547/77;698,02;S;A
547/78;1423,58;S;B
547/79;1202,26;S;C
547/80;575,43;B;C
547/81;1492,47;S;C
547/82;792,92;B;C
547/83;521,78;R;B
547/84;602,25;X;C
547/85;923,01;R;A
547/86;1063,49;X;C
547/87;703,00;R;B
547/88;1382,08;X;C
547/89;617,83;B;A
547/90;892,82;X;A
547/91;561,78;B;B
547/92;1488,61;X;C
547/93;823,47;R;B
547/94;1475,60;R;C
547/95;1121,15;S;C
547/96;981,21;X;D
547/97;703,13;R;C
547/98;647,70;R;B
547/99;1276,42;B;A
548/10;949,57;B;B
548/11;936,01;B;B
548/12;789,57;B;C
548/13;611,20;B;A
548/14;768,35;X;A
548/15;1146,87;S;B
548/16;633,52;R;C
548/17;1045,07;S;C
548/18;889,61;R;C
548/19;1112,15;B;A
548/20;618,16;R;C
548/21;1209,41;X;A
548/22;828,70;S;C
548/23;881,30;R;C
548/24;1427,84;R;A
548/25;1056,71;R;C
548/26;1147,51;X;A
548/27;867,89;S;C
548/28;774,01;S;D
548/29;733,87;B;B
548/30;574,18;B;C
548/31;1219,74;B;A
548/32;1259,75;S;B
548/33;1257,44;R;C
548/34;553,61;R;C
548/35;1196,37;B;B
548/36;806,29;B;B
548/37;796,44;R;B
548/38;1010,96;R;B
548/39;859,04;B;D
548/40;799,95;S;D
548/41;556,35;B;A
548/42;1099,98;B;B
548/43;1129,19;S;C
548/44;983,51;B;A
548/45;1280,42;S;C
548/46;1215,86;S;B
548/47;1136,30;R;D
548/48;826,86;S;C
548/49;834,64;S;C
548/50;1206,34;X;D
548/51;656,38;R;C
548/52;510,97;R;C
548/53;1451,60;R;B
548/54;1392,45;B;D
548/55;1469,18;S;D
548/56;1061,81;B;C
548/57;1221,25;S;A
548/58;1136,78;B;A
548/59;1499,24;B;B
548/60;1254,55;B;B
548/61;1129,61;S;A
548/62;1073,72;S;A
548/63;1235,49;R;B
548/64;979,62;X;C
548/65;1064,44;B;C
548/66;1117,87;B;A
548/67;780,19;R;C
548/68;1498,03;X;B
548/69;1410,58;R;B
548/70;536,14;B;B
548/71;672,14;S;B
548/72;1339,70;R;B
548/73;1427,45;R;A
548/74;1211,92;X;A
548/75;1492,50;S;D
548/76;1017,75;X;B
548/77;535,06;X;B
548/78;1065,02;R;A
548/79;806,24;R;C
548/80;1272,93;B;B
548/81;621,80;X;B
548/82;862,15;S;B
548/83;1412,71;R;B
548/84;1402,53;B;C
548/85;1427,21;X;D
548/86;797,23;B;D
548/87;792,02;R;A
548/88;612,19;R;D
548/89;502,73;S;C
548/90;551,17;S;C
548/91;1222,23;B;A
548/92;755,90;R;B
548/93;924,36;B;C
548/94;1341,12;S;C
548/95;1378,04;X;B
548/96;900,48;R;D
548/97;841,53;X;D
548/98;844,05;X;C
548/99;608,70;R;A
549/10;1297,83;R;A
549/11;1193,05;R;A
549/12;1135,59;X;C
549/13;835,98;X;D
549/14;1415,54;R;D
549/15;1220,75;B;A
549/16;1215,69;B;C
549/17;1453,77;B;A
549/18;679,65;R;B
549/19;1095,95;R;D
549/20;1493,46;X;B
549/21;524,88;L;A
549/22;1105,61;R;B
549/23;1364,49;L;B
549/24;872,51;X;C
549/25;1164,67;X;C
549/26;1445,38;S;C
549/27;1275,04;S;B
549/28;1367,13;S;C
549/29;799,42;L;D
549/30;1340,11;B;D
549/31;1393,75;R;C
549/32;1260,26;X;A
549/33;1204,19;B;C
549/34;535,10;S;C
549/35;1396,25;S;D
549/36;764,67;B;B
549/37;1003,10;X;A
549/38;613,89;X;C
549/39;1202,62;R;A
549/40;1095,58;B;B
549/41;925,39;B;C
549/42;1483,14;S;D
549/43;1082,32;L;C
549/44;721,31;X;A
549/45;1163,57;X;D
549/46;649,63;X;B
549/47;1248,63;S;D
549/48;1055,38;X;D
549/49;1072,82;S;B
549/50;1405,90;S;B
549/51;584,57;S;C
549/52;1227,32;L;B
549/53;770,06;S;A
549/54;925,41;B;D
549/55;627,38;X;C
549/56;663,82;R;C
549/57;609,43;S;B
549/58;1466,41;R;B
549/59;832,53;S;C
549/60;513,52;B;B
549/61;1491,61;B;C
549/62;1278,56;B;C
549/63;954,36;X;B
549/64;982,23;L;C
549/65;675,11;X;C
549/66;1487,58;X;B
549/67;688,42;S;D
549/68;1167,31;B;B
549/69;1361,44;B;B
549/70;904,55;S;B
549/71;838,12;S;D
549/72;1414,13;B;C
549/73;1430,81;S;C
549/74;1207,53;X;B
549/75;1394,01;L;A
549/76;797,07;S;B
549/77;1248,69;L;C
549/78;563,92;B;B
549/79;1472,64;B;B
549/80;980,40;X;A
549/81;689,08;L;B
549/82;637,56;B;C
549/83;711,41;X;C
549/84;982,22;X;C
549/85;595,20;B;A
549/86;693,48;S;C
549/87;909,01;X;B
549/88;597,51;B;B
549/89;1320,32;L;B
549/90;1048,56;B;C
549/91;1088,20;S;C
549/92;1391,01;X;D
549/93;1333,48;L;C
549/94;1294,77;S;B
549/95;1155,89;L;C
549/96;1171,81;R;B
549/97;529,31;X;B
549/98;556,34;B;D
549/99;978,10;B;B
550/10;1161,68;X;C
550/11;1107,57;L;B
550/12;664,10;B;C
550/13;1349,60;R;D
550/14;603,67;B;D
550/15;886,87;B;D
550/16;1197,50;X;B
550/17;814,62;L;D
550/18;547,34;B;B
550/19;611,79;L;D
550/20;648,30;S;B
550/21;1175,50;S;C
550/22;826,13;B;C
550/23;606,38;B;B
550/24;1475,73;R;C
550/25;1402,66;B;B
550/26;736,04;S;C
550/27;863,62;B;B
550/28;867,91;X;B
550/29;931,95;B;A
550/30;904,92;X;C
550/31;1453,01;L;C
550/32;1270,18;R;C
550/33;638,35;R;A
550/34;1421,34;S;D
550/35;1221,84;S;C
550/36;934,90;R;C
550/37;822,15;B;C
550/38;542,94;S;C
550/39;1399,60;B;C
550/40;681,29;B;B
550/41;1171,23;S;D
550/42;827,99;B;B
550/43;923,97;X;A
550/44;543,15;R;C
550/45;1446,23;B;C
550/46;599,92;S;C
550/47;977,05;X;C
550/48;805,96;S;D
550/49;591,03;S;C
550/50;688,76;X;B
550/51;1489,01;R;A
550/52;774,94;R;C
550/53;867,14;X;C
550/54;1357,63;X;D
550/55;1465,09;S;B
550/56;838,72;B;C
550/57;1246,46;S;B
550/58;718,63;B;C
550/59;898,78;S;C
550/60;1127,88;B;B
550/61;1138,07;X;C
550/62;1183,65;S;C
550/63;820,20;R;A
550/64;1404,21;B;B
550/65;938,91;R;C
550/66;1230,09;S;A
550/67;963,96;B;C
550/68;1273,16;B;C
550/69;938,48;X;C
550/70;1060,83;B;A
550/71;619,31;R;B
550/72;503,24;B;C
550/73;555,62;R;D
550/74;934,46;R;D
550/75;573,65;X;D
550/76;1026,21;B;B
550/77;613,52;X;A
550/78;578,35;X;C
550/79;1192,10;X;C
550/80;810,26;B;A
550/81;808,42;B;B
550/82;745,33;B;A
550/83;1096,04;B;B
550/84;1462,26;X;C
550/85;1023,06;S;B
550/86;716,84;B;B
550/87;1310,12;X;B
550/88;926,94;S;D
550/89;695,68;R;D
550/90;1439,70;X;B
550/91;510,25;X;B
550/92;1327,83;S;C
550/93;872,02;X;D
550/94;1366,50;X;C
550/95;656,71;R;C
550/96;759,70;X;A
550/97;1264,13;R;C
550/98;1185,78;R;D
550/99;793,19;B;D
551/10;1084,13;S;A
551/11;1417,43;B;B
551/12;746,89;B;A
551/13;1411,58;R;C
551/14;1316,85;S;B
551/15;1003,40;R;D
551/16;573,79;R;B
551/17;1411,44;R;C
551/18;928,32;R;B
551/19;1225,85;B;B
551/20;1262,71;R;C
551/21;1271,36;R;D
551/22;1237,81;R;A
551/23;695,86;X;B
551/24;1227,60;B;C
551/25;1461,36;X;D
551/26;1265,38;R;C
551/27;533,40;S;B
551/28;748,28;S;D
551/29;1108,17;B;C
551/30;587,47;B;A
551/31;744,41;X;B
551/32;1081,84;R;C
551/33;934,88;S;D
551/34;659,12;S;C
551/35;1459,22;R;B
551/36;1185,24;B;B
551/37;1494,24;S;C
551/38;1158,81;R;B
551/39;876,57;X;A
551/40;1000,18;B;C
551/41;1020,97;X;B
551/42;1204,34;B;B
551/43;996,18;R;C
551/44;740,49;X;C
551/45;520,64;S;B
551/46;1438,24;R;C
551/47;1150,53;X;A
551/48;522,56;S;B
551/49;1287,12;B;A
551/50;1054,03;B;C
551/51;791,81;X;C
551/52;577,06;B;C
551/53;505,17;B;C
551/54;1500,00;X;A
551/55;665,03;R;B
551/56;1480,03;S;B
551/57;603,36;X;C
551/58;841,67;S;C
551/59;1227,86;X;C
551/60;1027,99;L;C
551/61;1081,99;L;D
551/62;1405,11;B;B
551/63;760,32;B;A
551/64;1328,81;B;A
551/65;1492,15;L;C
551/66;582,06;S;A
551/67;605,17;X;A
551/68;634,35;L;B
551/69;1177,46;S;D
551/70;1007,85;X;B
551/71;1338,86;X;A
551/72;1183,29;B;B
551/73;1268,18;B;B
551/74;1021,27;B;B
551/75;1088,01;L;D
551/76;542,69;B;B
551/77;981,99;S;C
551/78;1375,73;X;C
551/79;1276,72;B;C
551/80;892,86;L;B
551/81;981,92;B;A
551/82;670,40;X;B
551/83;1201,74;S;B
551/84;517,06;X;B
551/85;1240,82;X;B
551/86;1342,51;B;D
551/87;1011,26;X;A
551/88;784,50;R;C
551/89;748,95;B;B
551/90;656,91;X;B
551/91;679,40;B;B
551/92;602,04;S;D
551/93;872,88;X;A
551/94;736,94;B;D
551/95;672,26;S;C
551/96;1456,90;B;A
551/97;1456,49;B;B
551/98;1378,65;L;B
551/99;890,68;R;B
552/10;599,88;L;A
552/11;662,18;B;C
552/12;518,38;S;B
552/13;1255,28;B;B
552/14;1320,42;R;C
552/15;1090,01;S;B
552/16;1159,33;B;C
552/17;976,12;X;A
552/18;659,68;B;B
552/19;913,94;R;B
552/20;978,86;B;C
552/21;570,01;L;B
552/22;1248,52;B;C
552/23;883,56;B;D
552/24;674,73;L;B
552/25;690,92;X;B
552/26;739,41;L;A
552/27;1004,89;B;B
552/28;1186,99;L;C
552/29;633,04;L;B
552/30;1330,96;L;C
552/31;596,49;S;C
552/32;1318,44;L;D
552/33;577,72;X;B
552/34;996,95;S;B
552/35;1280,57;B;C
552/36;647,32;S;B
552/37;589,02;L;A
552/38;947,83;S;C
552/39;840,25;L;B
552/40;1313,93;B;C
552/41;1357,71;X;D
552/42;1305,01;B;B
552/43;744,96;B;C
552/44;1416,24;L;B
552/45;1142,05;L;C
552/46;1288,90;B;D
552/47;522,49;S;D
552/48;567,57;X;A
552/49;1352,99;L;B
552/50;945,41;B;C
552/51;1049,36;B;A
552/52;965,82;X;B
552/53;1487,13;L;C
552/54;1269,56;B;B
552/55;560,14;B;B
552/56;1306,79;S;C
552/57;1206,08;B;B
552/58;1114,48;B;B
552/59;551,45;X;D
552/60;986,81;B;A
552/61;663,37;X;D
552/62;1178,40;R;C
552/63;1271,81;L;B
552/64;673,97;R;B
552/65;1254,67;R;D
552/66;1301,09;B;C
552/67;1193,69;L;C
552/68;1422,23;R;C
552/69;968,60;R;B
552/70;831,37;B;B
552/71;1124,75;R;B
552/72;1373,66;X;A
552/73;896,74;S;C
552/74;1095,14;X;C
552/75;574,98;R;B
552/76;1096,28;S;C
552/77;732,61;S;A
552/78;1215,89;S;C
552/79;1433,91;S;A
552/80;607,56;S;C
552/81;1064,23;R;C
552/82;1038,61;R;D
552/83;1364,55;R;A
552/84;1408,44;R;A
552/85;529,93;R;D
552/86;698,11;X;D
552/87;1310,32;X;B
552/88;851,52;B;B
552/89;974,72;B;B
552/90;977,46;S;B
552/91;854,13;L;A
552/92;583,08;L;B
552/93;658,95;X;C
552/94;714,28;L;B
552/95;1168,80;S;B
552/96;1003,12;S;D
552/97;828,86;X;A
552/98;1467,29;B;D
552/99;1455,01;B;B
553/10;904,75;X;D
553/11;808,05;S;C
553/12;1042,62;B;C
553/13;808,96;R;D
553/14;983,44;S;D
553/15;591,66;L;B
553/16;925,99;B;C
553/17;1312,95;R;B
553/18;708,07;B;C
553/19;1172,87;X;D
553/20;997,72;B;D
553/21;802,73;B;A
553/22;829,86;B;D
553/23;1258,35;R;A
553/24;1468,90;L;C
553/25;1290,74;B;B
553/26;594,66;L;D
553/27;1388,56;L;B
553/28;1282,48;S;D
553/29;1413,72;L;B
553/30;1364,04;L;C
553/31;1473,76;S;C
553/32;995,47;R;C
553/33;691,51;R;B
553/34;553,85;R;B
553/35;615,64;S;C
553/36;1444,25;B;B
553/37;1155,58;X;B
553/38;1170,70;X;C
553/39;634,51;B;C
553/40;696,84;R;D
553/41;864,10;S;B
553/42;1489,69;R;C
553/43;1431,03;X;B
553/44;1364,65;B;A
553/45;1432,57;R;C
553/46;515,44;R;C
553/47;1356,52;X;A
553/48;550,30;B;D
553/49;694,35;S;B
553/50;1392,78;S;B
553/51;699,10;R;C
553/52;1031,56;R;A
553/53;1198,07;B;C
553/54;1475,01;B;B
553/55;1243,89;S;C
553/56;1426,96;B;C
553/57;1351,67;R;C
553/58;1011,24;X;D
553/59;608,13;X;B
553/60;646,24;R;B
553/61;893,41;R;C
553/62;1349,80;S;C
553/63;579,03;B;B
553/64;911,17;B;B
553/65;831,38;S;B
553/66;1149,69;B;B
553/67;1316,34;R;A
553/68;989,31;S;A
553/69;1246,62;B;C
553/70;1237,02;X;A
553/71;1031,74;X;B
553/72;886,51;R;C
553/73;609,66;B;B
553/74;698,91;R;B
553/75;1180,90;X;C
553/76;800,79;S;D
553/77;764,62;B;C
553/78;531,00;L;B
553/79;1114,92;X;C
553/80;807,39;X;C
553/81;563,25;R;B
553/82;917,56;B;C
553/83;550,37;L;C
553/84;1431,61;B;C
553/85;1018,10;R;A
553/86;958,24;B;C
553/87;1058,11;S;B
553/88;909,19;L;C
553/89;1411,01;L;A
553/90;714,64;S;A
553/91;654,42;X;C
553/92;1256,40;B;B
553/93;1302,09;B;C
553/94;989,84;R;B
553/95;1401,57;B;B
553/96;1041,20;X;B
553/97;875,33;S;B
553/98;786,63;X;D
553/99;746,04;L;C
554/10;1065,53;S;A
554/11;791,81;B;B
554/12;588,73;X;C
554/13;1096,51;B;C
554/14;1008,30;S;A
554/15;685,71;S;D
554/16;565,76;B;C
554/17;545,19;L;D
554/18;504,93;R;A
554/19;1085,28;X;A
554/20;716,97;B;B
554/21;621,89;B;D
554/22;830,94;B;A
554/23;848,74;R;B
554/24;696,68;B;A
554/25;1276,99;B;B
554/26;1497,01;R;B
554/27;1318,29;B;B
554/28;1134,13;X;B
554/29;550,45;R;B
554/30;1141,35;S;A
554/31;1455,13;X;C
